kepid,koi_period,koi_time0bk,koi_impact,koi_impact_err1,koi_impact_err2,koi_duration,koi_duration_err1,koi_depth,koi_depth_err1,koi_srho,koi_srho_err1,koi_srho_err2,koi_prad,koi_prad_err1,koi_incl,koi_teq,koi_insol,koi_insol_err1,koi_dor,koi_dor_err1,koi_ldm_coeff1,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_bin_oedp_sig,koi_steff,koi_steff_err1,koi_steff_err2,koi_slogg,koi_slogg_err1,koi_srad,koi_srad_err1,koi_srad_err2,koi_smass,koi_smass_err2,koi_fwm_stat_sig,koi_disposition
54,0.772803664,131.70354,0.199,0.277,-0.199,1.368,0.178,290.0,35.0,2.58892,0.83637,-1.67922,1.11,0.08,87.37,1365.0,826.03,263.24,4.34,1.4,0.666,4.3377347,9.748285,8.5,1,1456.0,0.9793,4535.0,159.0,-159.0,4.607,0.052,0.668,0.048,-0.06,0.659,-0.054,0.0,FALSE POSITIVE
55,28.7369766,153.842,0.1108,0.4193,-0.1107,1.586,0.414,525.0,133.0,63.49709,224.43739,-61.04654,1.95,0.86,89.95,550.0,21.64,29.48,140.5,62.1,0.3919,6.2135533,24.499257999999998,5.5,1,164.0,0.4679,5722.0,184.0,-173.0,4.547,0.031,0.854,0.378,-0.07,0.937,-0.097,0.067,FALSE POSITIVE
56,3.341913228,171.63943,1.213,11.28,-0.141,3.813,0.12,725.0,21.3,0.01791,3.41491,-0.00331,21.55,3.54,56.44,1032.0,268.67,145.91,2.19,1.1,0.5086,5.0937037,32.72262,39.0,1,780.0,0.0,5295.0,175.0,-159.0,4.551,0.049,0.811,0.133,-0.071,0.853,-0.078,0.0,FALSE POSITIVE
57,9.31392071,135.7783,0.1287,0.3959,-0.1286,0.971,0.24,164.0,40.4,86.60949,363.49933,-85.55508,1.25,0.53,89.95,884.0,144.19,176.89,73.5,34.3,0.351,5.866011,7.3039784,6.6,1,146.0,0.4679,6032.0,153.0,-194.0,4.485,0.044,0.973,0.408,-0.089,1.055,-0.136,0.194,FALSE POSITIVE
58,5.412203927,133.143089,0.787,0.005,-0.565,2.9472,0.024,602.0,4.0,0.51087,1.25402,-0.00404,2.94,0.43,85.12,1093.0,337.68,137.29,9.25,4.5,0.3928,46.475086,163.47614,166.7,3,244.0,0.2265,5779.0,104.0,-115.0,4.339,0.132,1.087,0.157,-0.142,0.941,-0.054,0.0,CONFIRMED
59,6.83440674,136.86023,0.871,0.038,-0.609,2.2726,0.0609,177.0,6.8,0.69723,3.89408,-0.2668,1.01,0.07,85.83,636.0,38.68,9.33,11.99,5.6,0.674,4.780939,24.54701,29.1,3,187.0,0.1132,4498.0,90.0,-90.0,4.661,0.012,0.635,0.045,-0.019,0.698,-0.042,0.818,CONFIRMED
60,8.209514329,134.0632157,1.079,0.051,-0.137,4.14104,0.00191,141000.0,1.3,1.90038,0.06819,-0.14568,149.52,35.8,86.73,1371.0,834.79,621.79,18.918,0.679,0.3153,3802.564,17207.559,6579.3,1,168.0,0.6302,6258.0,203.0,-248.0,3.882,0.464,2.111,0.505,-0.938,1.237,-0.255,0.0,FALSE POSITIVE
61,29.6990126,135.6251,0.3636,0.0895,-0.3635,1.849,0.569,93.3,19.9,33.03669,30.70289,-32.86604,1.93,0.71,89.95,880.0,141.6,150.45,115.5,53.7,0.3027,6.2135533,24.499257999999998,7.4,2,164.0,0.4679,6382.0,159.0,-192.0,3.94,0.325,1.961,0.72,-0.745,1.222,-0.225,0.0,FALSE POSITIVE
62,31.97280045,261.76713,0.935,0.01,-0.017,4.9,0.171,2240.0,75.7,0.26268,0.06317,-0.06016,5.88,1.87,87.79,626.0,36.33,33.96,24.21,5.8,0.3071,20.16573,29.183687,44.8,1,3.0,0.9929,6340.0,176.0,-242.0,4.457,0.067,1.01,0.32,-0.107,1.066,-0.143,0.0,FALSE POSITIVE
63,15.86624787,141.08734,0.858,0.096,-0.594,4.25,0.0941,77.3,2.9,0.2639,1.3428,-0.02182,1.31,0.06,86.77,879.0,141.18,19.99,15.2,7.0,0.3354,5.5587177,21.97962,28.4,3,68.0,0.8177,6099.0,79.0,-85.0,4.193,0.016,1.308,0.054,-0.054,0.974,-0.064,0.758,CONFIRMED
